Unidade de Lotação,Processo SEI,Tipo de Processo,Usuários,Atividades,Tipo de Ação,Pontuação,Data Entrega
FIGF,01250.123469/2016-74,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,FIGF_14_1 - Preparar resposta a demandantes 1,Revisão,0,26/02/2021
FIGF,01250.123469/2016-74,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,FIGF_14_1 - Preparar resposta a demandantes 1,Revisão,0,02/03/2021
FIGF,01250.123469/2016-74,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,TRIB_04_1 - Levantamento de informações iniciais,Revisão,0,02/03/2021
FIGF,01250.123475/2016-63,Demanda Externa: Órgãos Governamentais Federais,Alessandro Romano,FIGF_14_2 - Preparar resposta a demandantes 2,Análise,"6,5",15/03/2021
FIGF,01250.123475/2016-63,Demanda Externa: Órgãos Governamentais Federais,Alessandro Romano,TRIB_04_1 - Levantamento de informações iniciais,Análise,"4,5",15/03/2021
FIGF,01250.123475/2016-63,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,FIGF_14_2 - Preparar resposta a demandantes 2,Revisão,"0,5",16/03/2021
FIGF,01250.123475/2016-63,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,TRIB_04_1 - Levantamento de informações iniciais,Revisão,0,16/03/2021
GR04FI1,01250.123479/2017-14,Fiscalização Regulatória: Fiscalização e Controle,Anna Colombo,TEC_04_1 - Preparar ações específicas ou centralizada,Análise,"11,5",10/11/2020
GR01FI3,01250.123479/2017-14,Fiscalização Regulatória: Fiscalização e Controle,Marco Rossi,TEC_16_1 - Concluir ação específica / centralizada,Análise,10,30/03/2021
GR04FI1,01250.123479/2017-14,Fiscalização Regulatória: Fiscalização e Controle,Anna Colombo,TEC_16_1 - Concluir ação específica / centralizada,Análise,10,25/03/2021
GR04FI1,01250.123479/2017-14,Fiscalização Regulatória: Fiscalização e Controle,Anna Colombo,TEC_14_1 - Elaborar Relatório e instruir processo pontual s/ result conclusivo,Análise,"1,5",24/03/2021
GR04FI1,01250.123479/2017-14,Fiscalização Regulatória: Fiscalização e Controle,Anna Colombo,TEC_14_1 - Elaborar Relatório e instruir processo pontual s/ result conclusivo,Revisão,0,24/03/2021
GR04FI1,01250.123479/2017-14,Fiscalização Regulatória: Fiscalização e Controle,Anna Colombo,TEC_16_1 - Concluir ação específica / centralizada,Revisão,0,25/03/2021
GR01FI3,01250.123479/2017-14,Fiscalização Regulatória: Fiscalização e Controle,Marco Rossi,TEC_16_1 - Concluir ação específica / centralizada,Revisão,0,30/03/2021
FIGF,01250.123486/2016-41,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,FIGF_14_2 - Preparar resposta a demandantes 2,Análise,"6,5",11/03/2021
FIGF,01250.123486/2016-41,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,TRIB_04_1 - Levantamento de informações iniciais,Análise,"4,5",11/03/2021
FIGF,01250.123486/2016-41,Demanda Externa: Órgãos Governamentais Federais,Luca Bianchi,FIGF_14_2 - Preparar resposta a demandantes 2,Revisão,"0,5",23/03/2021
FIGF,01250.123486/2016-41,Demanda Externa: Órgãos Governamentais Federais,Luca Bianchi,TRIB_04_1 - Levantamento de informações iniciais,Revisão,0,23/03/2021
FIGF,01250.123490/2016-93,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,FIGF_14_2 - Preparar resposta a demandantes 2,Análise,"6,5",12/03/2021
FIGF,01250.123490/2016-93,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,TRIB_04_1 - Levantamento de informações iniciais,Análise,"4,5",12/03/2021
FIGF,01250.123490/2016-93,Demanda Externa: Órgãos Governamentais Federais,Luca Bianchi,FIGF_14_2 - Preparar resposta a demandantes 2,Revisão,"0,5",23/03/2021
FIGF,01250.123490/2016-93,Demanda Externa: Órgãos Governamentais Federais,Luca Bianchi,TRIB_04_1 - Levantamento de informações iniciais,Revisão,0,23/03/2021
FIGF,01250.123494/2016-94,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,TRIB_04_1 - Levantamento de informações iniciais,Análise,"4,5",11/03/2021
FIGF,01250.123494/2016-94,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,FIGF_14_1 - Preparar resposta a demandantes 1,Análise,4,11/03/2021
FIGF,01250.123494/2016-94,Demanda Externa: Órgãos Governamentais Federais,Luca Bianchi,FIGF_14_1 - Preparar resposta a demandantes 1,Revisão,"0,5",23/03/2021
FIGF,01250.123494/2016-94,Demanda Externa: Órgãos Governamentais Federais,Luca Bianchi,TRIB_04_1 - Levantamento de informações iniciais,Revisão,0,23/03/2021
FIGF,01250.123498/2016-95,Demanda Externa: Órgãos Governamentais Federais,Antonio Esposito,FIGF_14_1 - Preparar resposta a demandantes 1,Análise,4,26/02/2021
FIGF,01250.123498/2016-95,Demanda Externa: Órgãos Governamentais Federais,Luca Bianchi,FIGF_14_1 - Preparar resposta a demandantes 1,Revisão,"0,5",07/03/2021
FIGF,53000.123500/2013-80,"Pesquisa, Desenvolvimento e Inovação: Gestão do Funttel",Antonio Esposito,FIGF_02_1 - Obter dados e consolidar informações 1,Revisão,0,08/12/2020
FIGF,53000.123500/2013-80,"Pesquisa, Desenvolvimento e Inovação: Gestão do Funttel",Antonio Esposito,TRIB_04_1 - Levantamento de informações iniciais,Revisão,0,08/12/2020
FIGF,53000.123500/2013-80,"Pesquisa, Desenvolvimento e Inovação: Gestão do Funttel",Antonio Esposito,TRIB_10_2 - Relatar FUNTTEL  (inclusive 0500),Revisão,0,08/12/2020
FIGF,53115.123503/2020-99,Fiscalização: Tributário,Antonio Esposito,APO_03_2 - Levantar subsídios técnicos - 2,Análise,8,13/01/2021
FIGF,53115.123503/2020-99,Fiscalização: Tributário,Antonio Esposito,APO_03_2 - Levantar subsídios técnicos - 2,Revisão,0,13/01/2021
GR05FI2,53500.123505/2021-86,Fiscalização: Coordenação de Ação de Fiscalização,Giovanni Ricci,TEC_04_1_50%,Análise,"5,5",05/03/2021
GR05FI2,53500.123505/2021-86,Fiscalização: Coordenação de Ação de Fiscalização,Giovanni Ricci,TEC_04_1_50%,Análise,"5,5",25/03/2021
GR05FI2,53500.123507/2021-39,Fiscalização: Coordenação de Ação de Fiscalização,Roberto Marino,TEC_04_1 - Preparar ações específicas ou centralizada,Análise,"11,5",08/02/2021
GR05FI2,53500.123508/2021-55,Fiscalização: Reclamação de Radiointerferência,Stefano Greco,TEC_20_3 - Analisar admissibilidade de denúncia,Análise,3,09/02/2021
GR05FI2,53500.123509/2021-23,Fiscalização: Coordenação de Ação de Fiscalização,Roberto Marino,TEC_04_1 - Preparar ações específicas ou centralizada,Análise,"11,5",08/02/2021
FIGF,53500.123510/2021-34,Anuências: Bens Reversíveis,Maria Bruno,FIGF_04_1 - Tratar solicitação de fiscalização 1,Análise,"1,5",08/02/2021
GR05FI2,53500.123511/2021-31,Fiscalização: Reclamação de Radiointerferência,Stefano Greco,TEC_20_3 - Analisar admissibilidade de denúncia,Análise,3,29/01/2021
FIGF,53500.123512/2021-20,Fiscalização: Econômico,Maria Bruno,FIGF_04_1 - Tratar solicitação de fiscalização 1,Análise,"1,5",02/03/2021
UO062,53500.123513/2020-15,Suporte à Fiscalização: Normas,Sara Gallo,TEC_21_1_25% - ANTIGA - NÃO UTILIZAR,Análise,0,06/11/2020
UO062,53500.123513/2020-15,Suporte à Fiscalização: Normas,Sara Gallo,APO_05_1_25% - Parcial. Realizar estudos técnicos GT/projetos,Análise,"7,5",06/11/2020
UO062,53500.123513/2020-15,Suporte à Fiscalização: Normas,Paolo Conti,APO_05_1_25% - Parcial. Realizar estudos técnicos GT/projetos,Análise,"7,5",06/11/2020
UO062,53500.123513/2020-15,Suporte à Fiscalização: Normas,Laura De Luca,TEC_21_1_25% - ANTIGA - NÃO UTILIZAR,Revisão,1,06/11/2020
UO062,53500.123513/2020-15,Suporte à Fiscalização: Normas,Laura De Luca,APO_05_1_25% - Parcial. Realizar estudos técnicos GT/projetos,Revisão,1,06/11/2020
UO062,53500.123513/2020-15,Suporte à Fiscalização: Normas,Laura De Luca,APO_05_1_25% - Parcial. Realizar estudos técnicos GT/projetos,Revisão,1,09/11/2020
UO062,53500.123513/2020-15,Suporte à Fiscalização: Normas,Sara Gallo,APO_05_1_25% - Parcial. Realizar estudos técnicos GT/projetos,Análise,"7,5",04/01/2021
UO062,53500.123513/2020-15,Suporte à Fiscalização: Normas,Laura De Luca,APO_05_1_25% - Parcial. Realizar estudos técnicos GT/projetos,Revisão,1,13/01/2021
UO062,53500.123513/2020-15,Suporte à Fiscalização: Normas,Sara Gallo,APO_05_1_25% - Parcial. Realizar estudos técnicos GT/projetos,Análise,"7,5",05/02/2021
GR02FI3,53500.123513/2020-15,Suporte à Fiscalização: Normas,Michele Mancini,APO_05_1 - Realizar estudos técnicos GT/projetos,Revisão,3,05/02/2021
UO062,53500.123513/2020-15,Suporte à Fiscalização: Normas,Laura De Luca,APO_05_1_25% - Parcial. Realizar estudos técnicos GT/projetos,Revisão,1,08/02/2021
UO062,53500.123513/2020-15,Suporte à Fiscalização: Normas,Sara Gallo,APO_05_1_25% - Parcial. Realizar estudos técnicos GT/projetos,Análise,"7,5",02/03/2021
GR02FI3,53500.123513/2020-15,Suporte à Fiscalização: Normas,Fabio Costa,APO_05_1 - Realizar estudos técnicos GT/projetos,Análise,30,05/02/2021
UO062,53500.123513/2020-15,Suporte à Fiscalização: Normas,Laura De Luca,APO_05_1_25% - Parcial. Realizar estudos técnicos GT/projetos,Revisão,1,02/03/2021
GR04FI1,53500.123527/5992-31,Fiscalização: Tributário,Davide Giordano,TRIB_06_1 - Análise de impugnação,Análise,6,25/03/2021
UO001,53500.123528/2021-11,Fiscalização: Uso do Espectro,Valentina Rizzo,TEC_14_4 - Relat. Sistêmicas e pontual alta prior.,Revisão,"2,5",05/02/2021
UO001,53500.123528/2021-11,Fiscalização: Uso do Espectro,Matteo Lombardi,TEC_14_4 - Relat. Sistêmicas e pontual alta prior.,Análise,"25,5",29/01/2021
UO001,53500.123528/2021-11,Fiscalização: Uso do Espectro,Valentina Rizzo,TEC_14_4 - Relat. Sistêmicas e pontual alta prior.,Análise,"25,5",05/02/2021
GR07FI1,53500.123531/2020-57,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_15_1,Análise,56,22/12/2020
GR07FI1,53500.123531/2020-57,PAC: Ônus - Serviço Móvel Pessoal,Massimo Barbieri,TRIB_11_1 - Encaminhar processo de fiscalização,Análise,"0,5",22/12/2020
GR07FI1,53500.123531/2020-57,PAC: Ônus - Serviço Móvel Pessoal,Massimo Barbieri,TRIB_14_2 - Apuração (Ônus) - grupo 1 < 10%,Análise,124,22/12/2020
GR07FI1,53500.123531/2020-57,PAC: Ônus - Serviço Móvel Pessoal,Massimo Barbieri,TRIB_10_5 - Relatar grupos 1 e 2,Análise,29,22/12/2020
GR07FI1,53500.123531/2020-57,PAC: Ônus - Serviço Móvel Pessoal,Massimo Barbieri,TRIB_05_2 - Análise de resposta grupos 1 e 2,Análise,7,22/12/2020
GR07FI1,53500.123531/2020-57,PAC: Ônus - Serviço Móvel Pessoal,Massimo Barbieri,TRIB_04_1 - Levantamento de informações iniciais,Análise,"4,5",22/12/2020
GR07FI1,53500.123531/2020-57,PAC: Ônus - Serviço Móvel Pessoal,Daniele Fontana,TRIB_10_5 - Relatar grupos 1 e 2,Revisão,3,22/12/2020
GR07FI1,53500.123538/2020-15,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_02_1 - Requisição de informações complementares,Análise,"4,5",12/11/2020
GR07FI1,53500.123538/2020-15,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_01_1 - RI eletrônica ou endereço conhecido,Análise,"1,5",26/11/2020
GR07FI1,53500.123538/2020-15,PAC: Ônus - Serviço Móvel Pessoal,Giulia Santoro,TRIB_10_5 - Relatar grupos 1 e 2,Revisão,3,04/12/2020
GR07FI1,53500.123538/2020-15,PAC: Ônus - Serviço Móvel Pessoal,Massimo Barbieri,TRIB_15_1,Análise,56,04/12/2020
GR07FI1,53500.123538/2020-15,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_14_1 - Apuração (Ônus) - grupo 1 > 10%,Análise,"251,5",30/11/2020
GR07FI1,53500.123538/2020-15,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_10_5 - Relatar grupos 1 e 2,Análise,29,02/12/2020
GR07FI1,53500.123538/2020-15,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_05_2 - Análise de resposta grupos 1 e 2,Análise,7,04/12/2020
GR07FI1,53500.123538/2020-15,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_05_2 - Análise de resposta grupos 1 e 2,Análise,7,04/12/2020
GR07FI1,53500.123538/2020-15,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_11_1 - Encaminhar processo de fiscalização,Análise,"0,5",07/12/2020
GR07FI1,53500.123538/2020-15,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_05_2 - Análise de resposta grupos 1 e 2,Análise,7,09/11/2020
GR07FI1,53500.123538/2020-15,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_04_1 - Levantamento de informações iniciais,Análise,"4,5",09/11/2020
GR07FI1,53500.123538/2020-15,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_01_1 - RI eletrônica ou endereço conhecido,Análise,"1,5",09/11/2020
GR07FI1,53500.123550/2020-60,PAC: Ônus - Serviço Móvel Pessoal,Simone Mariani,TRIB_05_2 - Análise de resposta grupos 1 e 2,Análise,7,29/11/2020
GR07FI1,53500.123550/2020-60,PAC: Ônus - Serviço Móvel Pessoal,Simone Mariani,TRIB_04_1 - Levantamento de informações iniciais,Análise,"4,5",29/11/2020
GR07FI1,53500.123550/2020-60,PAC: Ônus - Serviço Móvel Pessoal,Simone Mariani,TRIB_02_1 - Requisição de informações complementares,Análise,"4,5",12/12/2020
GR07FI1,53500.123550/2020-60,PAC: Ônus - Serviço Móvel Pessoal,Simone Mariani,TRIB_05_1 - Análise de resposta grupos 3 a 5,Análise,"4,5",12/12/2020
GR07FI1,53500.123550/2020-60,PAC: Ônus - Serviço Móvel Pessoal,Simone Mariani,TRIB_14_4 - Apuração (Ônus) - grupo 2 a 5 < 10%,Análise,"100,5",21/12/2020
GR07FI1,53500.123550/2020-60,PAC: Ônus - Serviço Móvel Pessoal,Simone Mariani,TRIB_10_5 - Relatar grupos 1 e 2,Análise,29,21/12/2020
GR07FI1,53500.123550/2020-60,PAC: Ônus - Serviço Móvel Pessoal,Simone Mariani,TRIB_11_1 - Encaminhar processo de fiscalização,Análise,"0,5",22/12/2020
GR07FI1,53500.123550/2020-60,PAC: Ônus - Serviço Móvel Pessoal,Massimo Barbieri,TRIB_15_2,Análise,"34,5",22/12/2020
GR07FI1,53500.123550/2020-60,PAC: Ônus - Serviço Móvel Pessoal,Daniele Fontana,TRIB_14_4 - Apuração (Ônus) - grupo 2 a 5 < 10%,Revisão,"3,5",21/12/2020
GR07FI1,53500.123550/2020-60,PAC: Ônus - Serviço Móvel Pessoal,Daniele Fontana,TRIB_10_5 - Relatar grupos 1 e 2,Revisão,3,21/12/2020
GR07FI1,53500.123560/2020-37,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_14_2 - Apuração (Ônus) - grupo 1 < 10%,Análise,124,22/12/2020
GR07FI1,53500.123560/2020-37,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_10_5 - Relatar grupos 1 e 2,Análise,29,22/12/2020
GR07FI1,53500.123560/2020-37,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_05_2 - Análise de resposta grupos 1 e 2,Análise,7,22/12/2020
GR07FI1,53500.123560/2020-37,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_05_2 - Análise de resposta grupos 1 e 2,Análise,7,22/12/2020
GR07FI1,53500.123560/2020-37,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_02_1 - Requisição de informações complementares,Análise,"4,5",22/12/2020
GR07FI1,53500.123560/2020-37,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_04_1 - Levantamento de informações iniciais,Análise,"4,5",22/12/2020
GR07FI1,53500.123560/2020-37,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_11_1 - Encaminhar processo de fiscalização,Análise,"0,5",22/12/2020
GR07FI1,53500.123560/2020-37,PAC: Ônus - Serviço Móvel Pessoal,Massimo Barbieri,TRIB_15_1,Análise,56,23/12/2020
GR07FI1,53500.123560/2020-37,PAC: Ônus - Serviço Móvel Pessoal,Daniele Fontana,TRIB_14_2 - Apuração (Ônus) - grupo 1 < 10%,Revisão,"12,5",22/12/2020
GR07FI1,53500.123560/2020-37,PAC: Ônus - Serviço Móvel Pessoal,Daniele Fontana,TRIB_10_5 - Relatar grupos 1 e 2,Revisão,3,22/12/2020
GR07FI1,53500.123560/2020-37,PAC: Ônus - Serviço Móvel Pessoal,Daniele Fontana,TRIB_02_1 - Requisição de informações complementares,Revisão,0,22/12/2020
GR07FI1,53500.123560/2020-37,PAC: Ônus - Serviço Móvel Pessoal,Daniele Fontana,TRIB_04_1 - Levantamento de informações iniciais,Revisão,0,22/12/2020
GR07FI1,53500.123560/2020-37,PAC: Ônus - Serviço Móvel Pessoal,Daniele Fontana,TRIB_05_2 - Análise de resposta grupos 1 e 2,Revisão,0,22/12/2020
GR07FI1,53500.123560/2020-37,PAC: Ônus - Serviço Móvel Pessoal,Daniele Fontana,TRIB_05_2 - Análise de resposta grupos 1 e 2,Revisão,0,22/12/2020
GR07FI1,53500.123560/2020-37,PAC: Ônus - Serviço Móvel Pessoal,Daniele Fontana,TRIB_11_1 - Encaminhar processo de fiscalização,Revisão,0,22/12/2020
GR07FI1,53500.123575/2020-14,PAC: Ônus - Serviço Móvel Pessoal,Massimo Barbieri,TRIB_14_2_25%-PARCIAL Apur. (Ônus) - grupo 1 < 10%,Análise,31,19/11/2020
GR07FI1,53500.123575/2020-14,PAC: Ônus - Serviço Móvel Pessoal,Massimo Barbieri,TRIB_10_5 - Relatar grupos 1 e 2,Análise,29,19/11/2020
GR07FI1,53500.123575/2020-14,PAC: Ônus - Serviço Móvel Pessoal,Massimo Barbieri,TRIB_11_1 - Encaminhar processo de fiscalização,Análise,"0,5",23/11/2020
GR07FI1,53500.123575/2020-14,PAC: Ônus - Serviço Móvel Pessoal,Daniele Fontana,TRIB_10_5 - Relatar grupos 1 e 2,Revisão,3,20/11/2020
GR07FI1,53500.123575/2020-14,PAC: Ônus - Serviço Móvel Pessoal,Daniele Fontana,TRIB_14_2_25%-PARCIAL Apur. (Ônus) - grupo 1 < 10%,Revisão,3,20/11/2020
GR07FI1,53500.123575/2020-14,PAC: Ônus - Serviço Móvel Pessoal,Salvatore Moretti,TRIB_15_1,Análise,56,20/11/2020
GR07FI1,53500.123581/2020-03,PAC: Ônus - Serviço Móvel Pessoal,Simone Mariani,TRIB_05_2 - Análise de resposta grupos 1 e 2,Análise,7,23/11/2020
GR07FI1,53500.123581/2020-03,PAC: Ônus - Serviço Móvel Pessoal,Simone Mariani,TRIB_14_4 - Apuração (Ônus) - grupo 2 a 5 < 10%,Análise,"100,5",27/11/2020
GR07FI1,53500.123581/2020-03,PAC: Ônus - Serviço Móvel Pessoal,Simone Mariani,TRIB_10_5 - Relatar grupos 1 e 2,Análise,29,27/11/2020
GR07FI1,53500.123581/2020-03,PAC: Ônus - Serviço Móvel Pessoal,Giulia Santoro,TRIB_04_1 - Levantamento de informações iniciais,Análise,0,27/11/2020
GR07FI1,53500.123581/2020-03,PAC: Ônus - Serviço Móvel Pessoal,Simone Mariani,TRIB_10_5 - Relatar grupos 1 e 2,Análise,0,27/11/2020
GR07FI1,53500.123581/2020-03,PAC: Ônus - Serviço Móvel Pessoal,Simone Mariani,TRIB_14_4 - Apuração (Ônus) - grupo 2 a 5 < 10%,Análise,0,27/11/2020
GR07FI1,53500.123581/2020-03,PAC: Ônus - Serviço Móvel Pessoal,Simone Mariani,TRIB_04_1 - Levantamento de informações iniciais,Análise,"4,5",28/11/2020
GR07FI1,53500.123581/2020-03,PAC: Ônus - Serviço Móvel Pessoal,Simone Mariani,TRIB_11_1 - Encaminhar processo de fiscalização,Análise,"0,5",28/11/2020
GR07FI1,53500.123581/2020-03,PAC: Ônus - Serviço Móvel Pessoal,Giulia Santoro,TRIB_14_4 - Apuração (Ônus) - grupo 2 a 5 < 10%,Revisão,"3,5",27/11/2020
GR07FI1,53500.123581/2020-03,PAC: Ônus - Serviço Móvel Pessoal,Giulia Santoro,TRIB_14_4 - Apuração (Ônus) - grupo 2 a 5 < 10%,Revisão,"3,5",27/11/2020
GR07FI1,53500.123581/2020-03,PAC: Ônus - Serviço Móvel Pessoal,Giulia Santoro,TRIB_10_5 - Relatar grupos 1 e 2,Revisão,3,27/11/2020
GR07FI1,53500.123581/2020-03,PAC: Ônus - Serviço Móvel Pessoal,Giulia Santoro,TRIB_10_5 - Relatar grupos 1 e 2,Revisão,3,27/11/2020
GR07FI1,53500.123581/2020-03,PAC: Ônus - Serviço Móvel Pessoal,Massimo Barbieri,TRIB_15_2,Análise,"34,5",27/11/2020
GR05FI2,53500.123594/2021-57,Fiscalização: Reclamação de Radiointerferência,Stefano Greco,TEC_20_3 - Analisar admissibilidade de denúncia,Análise,3,05/02/2021
GR05FI2,53500.123595/2021-39,Fiscalização: Reclamação de Radiointerferência,Stefano Greco,TEC_20_3 - Analisar admissibilidade de denúncia,Análise,3,12/02/2021
GR05FI2,53500.123596/2021-86,Fiscalização: Reclamação de Radiointerferência,Stefano Greco,TEC_20_2 - Analisar admissibilidade de denúncia,Análise,1,14/01/2021
FIGF,53500.123597/2021-43,Anuências: Bens Reversíveis,Maria Bruno,FIGF_04_1 - Tratar solicitação de fiscalização 1,Análise,"1,5",02/03/2021
GR05FI2,53500.123598/2021-19,Fiscalização: Reclamação de Radiointerferência,Stefano Greco,TEC_20_2 - Analisar admissibilidade de denúncia,Análise,1,14/01/2021
GR06FI2,53500.123599/2020-75,Fiscalização: Reclamação de Radiointerferência,Antonella Rinaldi,TEC_25_1 - Encaminhar e instruir PFIS,Análise,"0,5",30/11/2020
GR06FI2,53500.123599/2020-75,Fiscalização: Reclamação de Radiointerferência,Antonella Rinaldi,TEC_14_3 - Elaborar Relatório e instruir processo prioridade,Revisão,"1,5",30/11/2020
GR06FI2,53500.123599/2020-75,Fiscalização: Reclamação de Radiointerferência,Chiara Caruso,TEC_14_3 - Elaborar Relatório e instruir processo prioridade,Análise,13,30/11/2020
GR08FI2,53500.123602/2020-06,Fiscalização: Reclamação de Radiointerferência,Luigi Ferrara,TEC_14_2 - Elaborar Relatório e instruir processo sistêmica,Análise,"7,5",24/02/2021
GR08FI2,53500.123602/2020-06,Fiscalização: Reclamação de Radiointerferência,Luigi Ferrara,TEC_01_1 - Ana. e obter inform. ação pont./parc.,Análise,"2,5",24/02/2021
GR08FI2,53500.123602/2020-06,Fiscalização: Reclamação de Radiointerferência,Silvia Galli,TEC_14_2 - Elaborar Relatório e instruir processo sistêmica,Revisão,1,24/02/2021
GR08FI2,53500.123602/2020-06,Fiscalização: Reclamação de Radiointerferência,Silvia Galli,TEC_01_1 - Ana. e obter inform. ação pont./parc.,Revisão,0,24/02/2021
FIGF,53500.123606/2021-65,Fiscalização: Estudos e Avaliações,Alessandro Romano,FIGF_18_1 - Organizar ou registrar reunião 1,Análise,"2,5",07/02/2021
FIGF,53500.123606/2021-65,Fiscalização: Estudos e Avaliações,Alessandro Romano,FIGF_18_1 - Organizar ou registrar reunião 1,Análise,"2,5",09/02/2021
GR05FI2,53500.123608/2021-51,Fiscalização: Reclamação de Radiointerferência,Stefano Greco,TEC_20_3 - Analisar admissibilidade de denúncia,Análise,3,24/02/2021
GR05FI1,53500.123608/2021-51,Fiscalização: Reclamação de Radiointerferência,Mario Martini,TEC_14_2 - Elaborar Relatório e instruir processo sistêmica,Análise,"7,5",30/03/2021
GR05FI1,53500.123608/2021-51,Fiscalização: Reclamação de Radiointerferência,Mario Martini,TEC_01_2 - Ana. e obter inform. monitoração,Análise,"3,5",30/03/2021
GR05FI1,53500.123608/2021-51,Fiscalização: Reclamação de Radiointerferência,Daniela Leone,TEC_14_2 - Elaborar Relatório e instruir processo sistêmica,Revisão,1,30/03/2021
GR05FI1,53500.123608/2021-51,Fiscalização: Reclamação de Radiointerferência,Daniela Leone,TEC_01_2 - Ana. e obter inform. monitoração,Revisão,0,30/03/2021
FIGF,53500.123613/2018-18,Pessoal: Planejamento da Força de Trabalho,Antonio Esposito,FIGF_25_3 - Controlar PGDs da SFI 3,Análise,6,24/11/2020
